site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended,Recommended_weighted_avg,Recommended_median,Recommended_75th
PVF,1VNL,0.15411504606394405,0.35008161063063803,0.5714606736766903,0.16801319002455717,0.27043257972736046,0.5000089770988607,0.14894807906407065,0.256696737309625,0.516072550956271,0.6057483140972917,0.1633619488277807,0.3710865072684763,0.6057483140972917
SPB,1CBL,0.4885865583540517,1.24135294117647,1.348660251943175,0.6412393805926128,0.847958855673416,1.9194642857142798,0.7367861171398872,1.2393741450068352,1.3494444116858726,1.430411076387025,0.7809932841682804,1.3158341176470583,1.430411076387025
SPB,1CPT,1.3995799307773216,1.6882615794412401,1.84493953252032,1.282229314482566,1.441444851284735,1.886445663811555,1.464955163155,1.6820278846889,1.82655826558265,1.9556359044715392,1.5528524729443,1.7895572742077146,1.9556359044715392
SPB,1VNL,0.11971302348816225,0.250336421737587,0.294020391292367,0.10337214881270952,0.225846097821881,0.398655251944802,0.11163830420580464,0.230171487438167,0.305486522653412,0.3238157140126167,0.126895804897452,0.2653566070418423,0.3238157140126167
SPCB,1CBL,1.152877425495547,1.221607053895695,1.88080357142857,0.5405781530540872,0.8452500000000001,1.32234375,1.1703381769278636,1.3395,1.85470238095238,1.9936517857142844,1.2405584675435355,1.41987,1.9936517857142844
SPCB,1CPT,1.0768691243044732,1.414,2.1000268817204297,0.6149248926723142,0.813026749725174,0.81304836895388,1.1684945550101558,1.41443433395872,2.0100134408602073,2.2260284946236557,1.2386042283107652,1.4993003939962433,2.2260284946236557
SPCB,1VNL,0.05829486679900016,0.2304915270469385,0.36342274272521674,0.07100603304280426,0.141066862646027,0.324878919194494,0.08301335432195096,0.2055709959513075,0.43290729758927576,0.45888173544463234,0.08799415558126802,0.24432101866975484,0.45888173544463234
SPCP,1CBL,1.1031440838203637,1.16449511400651,2.3265,0.5117023235979825,0.543430250597747,0.656230628233228,1.1415492687950557,1.16604425518655,2.6330847830527726,2.791069870035939,1.2100422249227591,1.2360069104977431,2.791069870035939
SPCP,1CPT,0.9869023665770356,1.46510987679634,2.1414459777548,0.7964673953604905,0.957887184015895,1.249,1.2699915439267146,1.47323809523809,2.270320657025525,2.4065398964470566,1.3461910365623175,1.5616323809523753,2.4065398964470566
SPCP,1VNL,0.1786791126828719,0.221587831408201,0.39612452609675197,0.1382861801085819,0.192654165645947,0.241750468397507,0.173021076289568,0.19721409802193152,0.3685374878892745,0.41989199766255714,0.18939985944384422,0.23488310129269308,0.41989199766255714
SPHU,1CBL,0.9204301449931811,1.06525087173687,1.152656249999995,0.66211744011278,0.563221280602636,0.892142857142857,0.8795114199083497,1.06878787878787,1.24485294117647,1.3195441176470581,0.975655953692772,1.132915151515142,1.3195441176470581
SPHU,1CPT,0.9812536304228311,1.48453608247422,2.075773809523805,0.8317260999067144,0.9574504607786865,1.288031249999995,1.361522719776284,1.485,2.100563998276245,2.22659783817282,1.4432140829628612,1.5741000000000003,2.22659783817282
SPHU,1VNL,0.07835229588406802,0.158726423149062,0.317817629406215,0.11226304033159357,0.237343575766952,0.335438873535991,0.0864709475379575,0.2045656146832055,0.895093735653508,0.9487993597927186,0.09165920439023496,0.21683955156419785,0.9487993597927186
SPJ,1CBL,1.0314951171450673,1.110548178219145,2.1424534363107224,0.5461334587378947,0.787571428571428,1.53591414819789,0.6982560640119443,0.72375,1.3363812829206898,2.2710006424893656,1.0933848241737714,1.177181068912294,2.2710006424893656
SPJ,1CPT,1.1404825725084091,1.36568781040341,2.4123913043478225,0.7672671078613799,0.8244765134802655,1.3269321808510623,1.1496483105052568,1.370539750130845,2.6805624999999997,2.84139625,1.2186272091355723,1.4527721351386957,2.84139625
SPJ,1VNL,0.08269752194460414,0.144475624536518,0.298258215119411,0.09999782600021184,0.161562341611758,0.319805467046788,0.09770314871080345,0.155884012226477,0.602859275420566,0.6390308319458,0.10356533763345166,0.16523705296006563,0.6390308319458
SPL,1CBL,0.594901834029255,1.230505813953485,1.734012362637355,0.5353755901062245,0.48512,1.02375,1.4480809714599634,1.47388347090933,2.182810843288805,2.313779493886133,1.5349658297475612,1.56231647916389,2.313779493886133
SPL,1CPT,0.6500561546203514,1.409393353031805,1.90198005774065,0.8386957403203207,0.824707470747074,1.7519640456989198,1.1429076207568627,1.433707271307815,2.4200151245578048,2.565216032031273,1.2114820780022746,1.519729707586284,2.565216032031273
SPL,1VNL,0.09148173988296181,0.145568465235111,0.359830799313619,0.1005114218287019,0.172155619861283,0.329158057851239,0.15502955922306694,0.1899886913623925,0.448964614104871,0.47590249095116327,0.16433133277645096,0.20138801284413604,0.47590249095116327
SPLV,1CBL,1.3576138182713713,2.02496399423907,4.38370846730975,2.6179677214886308,4.370875724845295,7.3098660235798505,1.2189492074984642,1.5831213025654698,4.38344051446945,4.646730975348335,1.4390706473676536,2.1464618338934143,4.646730975348335
SPLV,1CPT,1.3139083317895324,1.43881488858458,1.55842274586671,0.8177584288474209,0.749296875,1.631674835832345,1.0456161721894366,1.438719163469755,1.5388841188000648,1.6519281106187127,1.3927428316969044,1.525143781899655,1.6519281106187127
SPLV,1VNL,0.07838871159102488,0.13525131539927598,0.217358246816175,0.08515794061589753,0.137870210925318,0.259882640254588,0.07985078001930836,0.1352470640619195,0.22421948530287775,0.23767265442105043,0.08464182682046686,0.14336639432323256,0.23767265442105043
SPN,1CBL,0.1573689708968078,0.77,0.87835294117647,0.29544634801380365,0.3614068450849195,1.096554755475545,0.7995955460414874,0.8548479591836731,1.8867687231567025,1.9999748465461047,0.8475712788039768,0.9061388367346935,1.9999748465461047
SPN,1CPT,0.23241430876910893,0.7800191676201544,1.779641513377925,0.49430347254494517,0.604760967932323,1.5371875,0.6117338338674433,0.789551020408163,2.21341973244147,2.3462249163879587,0.6484378638994899,0.8369240816326529,2.3462249163879587
SPN,1VNL,0.016970234766555303,0.1498052958614215,0.314604606137996,0.05695833296209533,0.11989161843811749,0.461720982034768,0.07538257026500414,0.163261053042349,0.354538924306366,0.375811259764748,0.07990552448090439,0.17305671622488994,0.375811259764748
SPT,1CBL,0.9561906794843433,1.007741666666665,1.1181369047618974,0.7043614158401492,0.808533333333333,1.5551055081458425,1.2135277118868542,1.01756756756756,1.345125,1.4258325,1.2863393746000655,1.0786216216216136,1.4258325
SPT,1CPT,1.2707122540263842,1.38398829431438,1.8238270237535148,0.907170381446545,0.870254054560795,2.02809364548495,1.3173849060918261,1.39061504549716,2.1764839817940347,2.3070730207016767,1.3964280004573357,1.4740519482269896,2.3070730207016767
SPT,1VNL,0.08670082811246399,0.15323674117692598,0.2270350135324405,0.11638084469778712,0.179360898821666,0.2536462579492955,0.13457424038609506,0.160061178348184,0.427918475365268,0.4535935838871841,0.14264869480926076,0.16966484904907506,0.4535935838871841
SPTM,1CBL,0.678694792409273,1.029666666666665,1.1575410958904075,1.0131972027022433,0.943222222222222,2.37255449972051,1.1757092968988858,1.11463761250592,1.39067567567567,1.4741162162162103,1.246251854712819,1.1815158692562753,1.4741162162162103
SPTM,1CPT,1.1287676760596745,1.57487317712968,2.25280646271886,1.429352744601026,1.39489583333333,2.12225,1.6313208903997607,1.58392857142857,2.567924114975035,2.7219995618735373,1.7292001438237463,1.6789642857142844,2.7219995618735373
SPTM,1VNL,0.15759274384290622,0.220161379462805,0.328639843996444,0.23373519762662928,0.30013525369206,0.654060336061207,0.14007657769262283,0.21609465955263302,0.32812241846777024,0.34835823463623067,0.1670483084734806,0.23337106223057333,0.34835823463623067
SPW,1CBL,0.580462508273613,1.0530503144654,1.387875,0.38109539899053063,0.527304347826086,1.2128,0.6352188911631825,1.056582862523535,1.6368376042291826,1.7350478604829336,0.6733320246329735,1.1199778342749471,1.7350478604829336
SPW,1CPT,1.0308279405526897,1.3806397727272701,2.3936390756645225,0.8138956819131475,0.8537031471498715,1.729133786848065,1.0594644226224164,1.3809634342351949,2.663413396709815,2.8232182005124042,1.1230322879797614,1.4638212402893067,2.8232182005124042
SPW,1VNL,0.14724289452050424,0.172133264462809,0.424160162877502,0.14706257312983673,0.231246031831437,0.61563791322314,0.13450799443086128,0.15370102059774948,0.37752756527673,0.4496097726501522,0.1560774681917345,0.18246126033057755,0.4496097726501522
