,PART_NO,DESCRIPTION,MFR,STYLE,COMPOSITION,WIDTH,COLOR,TYPE,SIZE,GAUGE,FACE WEIGHT,COLLECTION,DEPTH,BACKING,FINISH,SITE,PART STATUS,PART TYPE,COMMODITY 1,COMMODITY 2,PRODUCT CODE,PRODUCT_FAMILY,INV UoM,PURCH UoM,CONV FACTOR,PRIMARY SUPPLIER,SUPPLIER NAME,NET WEIGHT,NET VOLUME,miscellaneous,material_part,name,part_number,product_type,form,dimensions,color,color_code,collection,product_name,backing,category,product_number,new_nomenclature
127026,212350-009,Interface Open Air 416 (1475002500) Tufted Texture Loop 50cm x 50cm - Linen (107029),INTF,9601 - Open Air 416,,,15510 - Linen (107029),2023 - Tufted Texture Loop,825 - 50cm x 50cm,,32 - 19 oz.,,,69 - GlasBac,,PARTS,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Open Air 416,1475002500,Tufted,Texture Loop ,50cm x 50cm,Linen,107029,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-50cm x 50cm-Open Air 416-1475002500-Tufted-Texture Loop -Linen-107029
82681,037236,INTERFACE\MONOCHROME\101803 MALT\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,MONOCHROME,101803 MALT,,,,Interface Inc - N/A-MONOCHROME-101803 MALT-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
56061,011375,INTERFACE\404 OPEN AIR\106750 NICKEL\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,404 OPEN AIR,106750 NICKEL,,,,Interface Inc - N/A-404 OPEN AIR-106750 NICKEL-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
314655,170925-003,Interface Smithfield Strip GlasBac (1416002500) Tufted Sheared 19.69in x 19.69in - Yoreshire (102724),INTF,5642 - Smithfield Strip GlasBac,,,37468 - Yoreshire (102724),2021 - Tufted Sheared,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Smithfield Strip GlasBac,1416002500,Tufted,Sheared ,19.69in x 19.69in,Yoreshire,102724,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Smithfield Strip GlasBac-1416002500-Tufted-Sheared -Yoreshire-102724
86536,046557,INTERFACE\408 OPEN AIR\107729 BROWN\25CMX1M,,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,25CMX1M,,,408 OPEN AIR,107729 BROWN,,,,Interface Inc - N/A-408 OPEN AIR-107729 BROWN-N/A-N/A-25CMX1M-N/A-N/A-N/A-N/A-N/A-N/A
174085,136995-024,Interfaceflor House Pet (21-1031 Residential) Needlepunch 19.69in x 19.69in - Parrot (Parrot),IFFR,3593 - House Pet,,,63906 - Parrot (Parrot),2179 - Needlepunch,494 - 19.69in x 19.69in,,152 - Undefined,,,101 - N/A,,SPCB,A,Purchased,1CPT,2CPT,*,*,EA,,,,,,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
69414,021912,INTERFACE\401 OPEN AIR\106776 NATURAL\25CMX1M,INTF,,,,,,,,,,,,,CTS,O,Purchased,1CPT,2CPT,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,25CMX1M,,,401 OPEN AIR,106776 NATURAL,,,,Interface Inc - N/A-401 OPEN AIR-106776 NATURAL-N/A-N/A-25CMX1M-N/A-N/A-N/A-N/A-N/A-N/A
296575,179550-004,Interface Ground Waves (138730AK00) Tufted Texture Loop 25cm x 1m - Gravel/Colors (104055),INTF,3149 - Ground Waves,,,135368 - Gravel/Colors (104055),2023 - Tufted Texture Loop,903 - 25cm x 1m,,21 - 16 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Ground Waves,138730AK00,Tufted,Texture Loop ,25cm x 1m,Gravel/Colors,104055,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-25cm x 1m-Ground Waves-138730AK00-Tufted-Texture Loop -Gravel/Colors-104055
229194,102697-062,Interface Notes (13662) Fusion Bonded 19.69in x 19.69in - Cardamom (3710),INTF,4572 - Notes,,,39110 - Cardamom (3710),991 - Fusion Bonded,494 - 19.69in x 19.69in,,50 - 26 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Notes,13662,Fusion,Bonded ,19.69in x 19.69in,Cardamom,3710,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Notes-13662-Fusion-Bonded -Cardamom-3710
117656,192103-007,Interface Level Set Natural Woodgrains (A002) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Washed Wheat (A00207),INTF,3948 - Level Set Natural Woodgrains,,,53333 - Washed Wheat (A00207),1438 - Luxury Vinyl Plank 22 mil,903 - 25cm x 1m,181 - 4.5 mm,,,,,,FSU,A,Purchased,1VNL,2LVP,*,*,SF,SF,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
146099,1000036127,INTERFACE\WW860 (128190AK00)\25CMX1M\105354 BLACK TWEED,INTF,,,,,,,,,,,,,SPC,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,105354 BLACK TWEED,,,WW860 (128190AK00),25CMX1M,,,,Interface Inc - N/A-WW860 (128190AK00)-25CMX1M-N/A-N/A-105354 BLACK TWEED-N/A-N/A-N/A-N/A-N/A-N/A
269327,193163-006,Interface Raku (426802500) Tufted Sheared 50cm x 50cm - Eclipse (105515),INTF,5088 - Raku,,,76515 - Eclipse (105515),2021 - Tufted Sheared,825 - 50cm x 50cm,,152 - Undefined,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,,,,,,,False,False,Raku,426802500,Tufted,Sheared ,50cm x 50cm,Eclipse,105515,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-50cm x 50cm-Raku-426802500-Tufted-Sheared -Eclipse-105515
111066,1000006211,Interface Studio Set LVT A00703 Pepper,INTF,,,,,,,,,,,,,DSL,A,Purchased,1VNL,2LVT,,,SF,,,,,,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
238282,102193-013,Interface Route 66 (14611) Tufted Texture Loop 19.69in x 19.69in - Grante (2492),INTF,5311 - Route 66,,,12795 - Grante (2492),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,35 - 20 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Route 66,14611,Tufted,Texture Loop ,19.69in x 19.69in,Grante,2492,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Route 66-14611-Tufted-Texture Loop -Grante-2492
141549,185322-003,Interface Step Repeat SR699 (1388402500) Tufted Texture Loop 50cm x 50cm - Iron (104932),INTF,10769 - Step Repeat SR699,,,132031 - Iron (104932),2023 - Tufted Texture Loop,825 - 50cm x 50cm,,56 - 28 oz,,,69 - GlasBac,,SPB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Step Repeat SR699,1388402500,Tufted,Texture Loop ,50cm x 50cm,Iron,104932,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-50cm x 50cm-Step Repeat SR699-1388402500-Tufted-Texture Loop -Iron-104932
376911,151545-002,Interface Custom Mantra (1382002500) Tufted Texture Loop 39.37in x 39.37in - Solitude (Solitude),INTF,23070 - Custom Mantra,,,256542 - Solitude (Solitude),2023 - Tufted Texture Loop,1028 - 39.37in x 39.37in,,152 - Undefined,,,389 - w/ Glasback,,SPN,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Custom Mantra,1382002500,Tufted,Texture Loop ,39.37in x 39.37in,Solitude,Solitude,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-39.37in x 39.37in-Custom Mantra-1382002500-Tufted-Texture Loop -Solitude-Solitude
330165,165523-006,Interfaceflor-Cartera Pattern Library MO588 (MO588-14589)-Tufted Texture Loop-19.69in x 19.69in-Alpaca (101494),IFFR,745 - Cartera Pattern Library MO588,,,30655 - Alpaca (101494),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,152 - Undefined,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
188383,144801-025,Interface Profile (1381102500) Tufted Texture Loop 19.69in x 19.69in - Vertex (106088),INTF,9964 - Profile,,,81098 - Vertex (106088),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,28 - 18 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Profile,1381102500,Tufted,Texture Loop ,19.69in x 19.69in,Vertex,106088,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Profile-1381102500-Tufted-Texture Loop -Vertex-106088
302746,186531-005,Interface 1000 Series S103 Tufted Patterned Loop 50cm x 50cm - Lead (9630),INTF,2296 - 1000 Series S103,,,39965 - Lead (9630),2014 - Tufted Patterned Loop,825 - 50cm x 50cm,,21 - 16 oz.,,,69 - GlasBac,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,,,,,,,False,False,1000,,Series,S103 Tufted Patterned Loop ,50cm x 50cm,Lead,9630,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-50cm x 50cm-1000-N/A-Series-S103 Tufted Patterned Loop -Lead-9630
324728,165947-001,Interface La Paz Colores (146100250H) Tufted Texture Loop 19.69in x 19.69in - Fiesta (101195),INTF,8787 - La Paz Colores,,,111067 - Fiesta (101195),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,28 - 18 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,La Paz Colores,146100250H,Tufted,Texture Loop ,19.69in x 19.69in,Fiesta,101195,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-La Paz Colores-146100250H-Tufted-Texture Loop -Fiesta-101195
321126,164462-014,Interface Braided w/GlasBac (1236102500) Tufted Cut & Loop 19.69in x 19.69in - Concord (100711),INTF,3234 - Braided w/GlasBac,,,24887 - Concord (100711),1996 - Tufted Cut & Loop,494 - 19.69in x 19.69in,,41 - 22 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
223353,125580-012,Interface Kamala Ni (16633) Tufted Texture Loop 19.69in x 19.69in - Otera (2700),INTF,8718 - Kamala Ni,,,106074 - Otera (2700),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Kamala Ni,16633,Tufted,Texture Loop ,19.69in x 19.69in,Otera,2700,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Kamala Ni-16633-Tufted-Texture Loop -Otera-2700
205474,128936-019,Interface Entropy (146480250H) Tufted Tip Shear 19.69in x 19.69in - Fern (4994),INTF,7812 - Entropy,,,65203 - Fern (4994),2645 - Tufted Tip Shear,494 - 19.69in x 19.69in,,35 - 20 oz,,,73 - GlasBacRE,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,Entropy,146480250H,Tufted,Tip Shear ,19.69in x 19.69in,Fern,4994,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Entropy-146480250H-Tufted-Tip Shear -Fern-4994
79599,034443,INTERFACE\SEW STRAIGHT\102399 CREWEL\50CMX50CM,INTF,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,SEW STRAIGHT,102399 CREWEL,,,,Interface Inc - N/A-SEW STRAIGHT-102399 CREWEL-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
228500,102192-016,Interface Marrakesh (16222) Tufted Texture Loop 19.69in x 19.69in - Morocco (1716),INTF,4145 - Marrakesh,,,4263 - Morocco (1716),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,50 - 26 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Marrakesh,16222,Tufted,Texture Loop ,19.69in x 19.69in,Morocco,1716,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Marrakesh-16222-Tufted-Texture Loop -Morocco-1716
185677,144656-003,Interface Accent Flannel (13711) Tufted Cut Pile 19.69in x 19.69in - Silver/Worsted (6501),INTF,2426 - Accent Flannel,,,63381 - Silver/Worsted (6501),1998 - Tufted Cut Pile,494 - 19.69in x 19.69in,,43 - 24 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,,,,,,,False,False,Accent Flannel,13711,Tufted,Cut Pile ,19.69in x 19.69in,Silver/Worsted,6501,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Accent Flannel-13711-Tufted-Cut Pile -Silver/Worsted-6501
142505,1000019508,Interface-Cubic (13801)-Tufted Texture Loop-Unbacked-19.69in x 19.69in-Construction (6395),INTF,,,,,,,,,,,,,SPB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
217817,123870-014,Interface Marrakesh (16222) 6'6in - Mauretania (1712),INTF,4145 - Marrakesh,,87 - 6'6in,48799 - Mauretania (1712),2029 - Tufted Textured Loop,,,51 - 26 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CBL,2CBL,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
380969,1000042719,Interface Colourline Street Smart (SS218) 25cm X 1m - Crossroad Cielo (8010-034-000),INTF,,,,,,,,,,,,,SPN,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
220407,127323-009,Interface Ginza (16650) Tufted Texture Loop 19.69in x 19.69in - Terrace (100392),INTF,8259 - Ginza,,,8672 - Terrace (100392),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,42 - 23 oz.,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Ginza,16650,Tufted,Texture Loop ,19.69in x 19.69in,Terrace,100392,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Ginza-16650-Tufted-Texture Loop -Terrace-100392
392153,1000017102,Interface-Granite Mountain - Rock Springs (131160AK0G)-CQuestGB-9.845in x 39.38in-Lead Gneiss (107292),INTF,,,,,,,,,,,,,SPTG,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
86668,049290,INTERFACE\HONEY DON'T\105687 DAYLIGHT\50CMX50CM,,,,,,,,,,,,,,CTS,O,Purchased,GM,PR,0102,01,CTN,SY,0.16722408,100796,DNU (102775) Interface Americas,,,False,False,,,,,50CMX50CM,,,HONEY DON'T,105687 DAYLIGHT,,,,Interface Inc - N/A-HONEY DON'T-105687 DAYLIGHT-N/A-N/A-50CMX50CM-N/A-N/A-N/A-N/A-N/A-N/A
325224,162832-002,Interface Earth II (14671) Tufted Texture Loop 19.69in x 19.69in - Desert (9238),INTF,1846 - Earth II,,,140742 - Desert (9238),2023 - Tufted Texture Loop,494 - 19.69in x 19.69in,,24 - 17 oz,,,175 - Undefined,,SPCB,A,Purchased,1CPT,2CPT,*,*,SY,SY,1.0,102775.0,"Interface Americas, Inc.",,,False,False,Earth II,14671,Tufted,Texture Loop ,19.69in x 19.69in,Desert,9238,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-19.69in x 19.69in-Earth II-14671-Tufted-Texture Loop -Desert-9238
25607,354205-000,Interface 2000 Plus Adhesive - 1 Gal,INTF,6389 - Undefined,356 - Undefined,,,2060 - Undefined,1476 - Undefined,243 - Undefined,,,,175 - Undefined,,CCS,A,Purchased,1ADH,2ADH,*,*,EA,EA,1.0,102775,"Interface Americas, Inc.",,,False,False,,,,,,,,,,,,,Interface Inc - N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A-N/A
